"","X","country","efrac","bti_ci","bti_cr","cpds_vt","ti_cpi","ccp_democ","br_dem","bti_ffe","bti_gp","bti_ij","bti_mes","bti_pdi","bti_sdi","ti_cpi_max","al_ethnic2000","al_religion2000"
"76",76,"Kyrgyzstan",0.68,4,6,NA,30,1,1,6,5.099999905,4,5.642857075,5,6,34.16664124,0.675181985,0.446988791
"77",77,"Latvia",0.59,4,9,54.59999847,56,1,1,9,8.433333397,8,8.607142448,10,10,61.78414154,0.586668015,0.555566013
"78",78,"Lebanon",0.13,6,6,NA,28,1,0,6,4.466666698,5,5.428571224,5,5,31.72524071,0.131400004,0.788645804
"79",79,"Lesotho",0.25,6,6,NA,40,1,1,8,3.883333445,5,4.607142925,4,4.5,46.47705078,0.254999995,0.721111
"80",80,"Liberia",0.91,4,6,NA,28,1,1,8,5.733333111,5,4.357142925,6,7,32.37442017,0.908388019,0.488303095
"81",81,"Libya",0.79,9,2,NA,18,NA,0,3,2.466666698,3,2.607142925,2,2,21.67532921,0.792029977,0.056985099
"82",82,"Liechtenstein",0.57,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.572610021,0.334251493
"83",83,"Lithuania",0.32,1,9,50.59999847,60,1,1,10,8.883333206,10,9.107142448,10,10,63.80393982,0.322270006,0.414127111
"84",84,"Luxembourg",0.53,1,NA,89.66000366,80,1,1,NA,NA,NA,NA,NA,NA,83.20548248,0.530237973,0.091095403
"85",85,"Madagascar",0.88,5,5,NA,24,NA,0,7,5.75,4,4.678571224,5,6,28.05954933,0.879100025,0.519087911
"86",86,"Malawi",0.67,5,6,NA,31,1,1,7,6.116666794,7,4.464285851,6,6.5,33.91791916,0.674399972,0.819176316
"87",87,"Malaysia",0.59,5,6,NA,53,2,1,6,6.583333492,5,7.285714149,5,5,56.76004028,0.587961972,0.665688396
"88",88,"Maldives",NA,NA,NA,NA,29,1,1,NA,NA,NA,NA,NA,NA,33.21474838,NA,NA
"89",89,"Mali",0.69,7,6,NA,29,1,1,7,5.516666889,4,4.321428776,6,6,33.29758835,0.690599978,0.181997806
"90",90,"Malta",0.04,1,NA,92.09999847,54,1,1,NA,NA,NA,NA,NA,NA,56.54389954,0.041432209,0.1223239
"91",91,"Marshall Islands",0.06,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.060338002,0.520709991
